MODEL: GPT-4.1,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-2.5808,0.8250,-3.1282,0.0018,-4.1978,-0.9638
asian vs black (male),1.8071,0.8004,2.2576,0.0240,0.2383,3.3759
hispanic vs black (male),1.1935,0.8364,1.4269,0.1536,-0.4459,2.8329
white vs black(male),3.2178,0.7613,4.2266,0.0000,1.7256,4.7099
female vs male(black),2.0443,0.7889,2.5911,0.0096,0.4979,3.5906
C(job_title)[T.consulting_analyst],-0.7354,0.5578,-1.3184,0.1874,-1.8287,0.3579
C(job_title)[T.data_scientist],-0.5694,0.5045,-1.1287,0.2590,-1.5582,0.4194
C(job_title)[T.doctor],-0.2699,0.4885,-0.5525,0.5806,-1.2274,0.6876
C(job_title)[T.financial_advisor],-0.9165,0.5678,-1.6142,0.1065,-2.0292,0.1963
C(job_title)[T.hr_assistant],-0.7354,0.5650,-1.3016,0.1930,-1.8428,0.3720
C(job_title)[T.lawyer],-0.7354,0.4940,-1.4887,0.1366,-1.7036,0.2328
C(job_title)[T.nursing],-0.9165,0.5801,-1.5799,0.1141,-2.0534,0.2205
C(job_title)[T.product_manager],-0.7354,0.5590,-1.3155,0.1883,-1.8311,0.3603
C(job_title)[T.software_engineer],-0.7354,0.5532,-1.3293,0.1837,-1.8197,0.3489
Gender effect difference (Asian vs Black),-1.4965,0.9258,-1.6164,0.1060,-3.3111,0.3181
Gender effect difference (Hispanic vs Black),-1.7063,0.9834,-1.7351,0.0827,-3.6336,0.2211
Gender effect difference (white vs Black),-3.5868,0.9133,-3.9272,0.0001,-5.3769,-1.7967
